Date;Year;Taxon1-1;Taxon1-2;;Taxon2-1;Taxon2-2;Taxon3-1;Taxon3-2;Taxon4-1;Taxon4-2;Taxon5-1;Taxon5-2;Taxon6-1;Taxon6-2;Taxon7-1;Taxon7-2;Taxon8-1;Taxon8-2;Taxon9-1;Taxon9-2
01/01/1982;1982;;;;;;;;;;;;;;;;;;;
02/01/1982;1982;;;;;;;;;;;;;;;;;;;
03/01/1982;1982;;;;;;;;;;;;;;;;;;;
04/01/1982;1982;;;;;;;;;;;;;;;;;;;
05/01/1982;1982;;;;;;;;;;;;;;;;;;;
06/01/1982;1982;;;;;;;;;;;;;;;;;;;
07/01/1982;1982;;;;;;;;;;;;;;;;;;;
08/01/1982;1982;;;;;;;;;;;;;;;;;;;
09/01/1982;1982;;;;;;;;;;;;;;;;;;;
10/01/1982;1982;;;;;;;;;;;;;;;;;;;
11/01/1982;1982;;;;;;;;;;;;;;;;;;;
12/01/1982;1982;;;;;;;;;;;;;;;;;;;
13/01/1982;1982;;;;;;;;;;;;;;;;;;;
14/01/1982;1982;;;;;;;;;;;;;;;;;;;
15/01/1982;1982;;;;;;;;;;;;;;;;;;;
16/01/1982;1982;;;;;;;;;;;;;;;;;;;
17/01/1982;1982;;;;;;;;;;;;;;;;;;;
18/01/1982;1982;;;;;;;;;;;;;;;;;;;
19/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
20/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
21/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
22/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
23/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
24/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
25/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
26/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
27/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
28/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
29/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
30/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
31/01/1982;1982;;;;;;;;0;0;;;;;;;;;;
01/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
02/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
03/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
04/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
05/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
06/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
07/02/1982;1982;;;;;;;;0;0;;;;;;;;;;
